dron.ownerId,dron.degree,dron.betweeness,dron.clustcoeff,dron.closeness,dron.eigenvalue,dron.pagerank
1000052,318,234.5848321,0.814505215,1.16E-05,0.006054249,0.000551575
1000133,394,446.1436693,0.769398115,1.16E-05,0.00493228,0.000572321
1000162,0,0,0,2.18E-06,1.46E-07,0.000262743
1000205,742,283.2716635,0.606489416,1.16E-05,0.044262987,0.00272597
1000216,60,87.42924961,0.988505747,1.15E-05,0.000298561,0.00028771
1000232,498,274.6839523,0.712041715,1.16E-05,0.011418957,0.000902704
1000234,640,209.8089829,0.652372784,1.16E-05,0.026132471,0.001741714
1000237,528,60.04324788,0.723873718,1.16E-05,0.026412714,0.00170399
1000253,328,288.5291435,0.74592249,1.16E-05,0.005410781,0.000522493
1000269,546,549.435324,0.678749729,1.16E-05,0.012866642,0.000969655
1000297,368,299.1611234,0.774887147,1.16E-05,0.005916908,0.000552618
1000319,1030,167.2591559,0.4440652,1.15E-05,0.226801984,0.013101701
1000322,150,86.53890047,0.878918919,1.16E-05,0.00132468,0.00034251
1000330,430,12.99069843,0.718930667,1.15E-05,0.010328839,0.000878443
1000341,192,120.9204776,0.874780702,1.16E-05,0.001606996,0.000379358
1000351,0,0,0,2.18E-06,1.46E-07,0.000262743
1000366,286,180.3969336,0.809908401,1.16E-05,0.005407397,0.000511644
1000387,0,0,0,2.18E-06,1.46E-07,0.000262743
1000392,0,0,0,2.18E-06,1.46E-07,0.000262743
1000411,1038,260.2716818,0.439519652,1.15E-05,0.283027895,0.01631573
1000413,642,315.9797802,0.674510188,1.16E-05,0.025826566,0.001673463
1000414,712,58.65944722,0.636667462,1.16E-05,0.151355626,0.009422171
1000428,228,273.7282493,0.817730166,1.16E-05,0.00239485,0.000440187
1000436,200,146.2967065,0.868888889,1.16E-05,0.002913436,0.000397709
1000443,304,222.2767015,0.804548623,1.16E-05,0.003733153,0.000471899
1000483,0,0,0,2.18E-06,1.46E-07,0.000262743
1000495,426,312.0539899,0.746478873,1.16E-05,0.00792092,0.000746259
1000512,446,289.5733091,0.736112794,1.16E-05,0.013319228,0.00095846
1000558,458,318.9086348,0.764394466,1.16E-05,0.007665018,0.000685565
1000576,400,283.7455648,0.773115578,1.16E-05,0.006135645,0.000588247
1000582,754,476.7585924,0.589446809,1.16E-05,0.024646538,0.001777809
1000624,0,0,0,2.18E-06,1.46E-07,0.000262743
1000635,432,152.4876606,0.772353836,1.16E-05,0.007960723,0.000897427
1000653,394,295.9307992,0.787268207,1.16E-05,0.007445189,0.000641923
1000660,1044,120.858386,0.436128746,1.15E-05,0.210029653,0.011871316
1000676,636,207.7910138,0.657024383,1.16E-05,0.017845487,0.001324504
1000678,614,682.5915496,0.657923497,1.16E-05,0.016767774,0.001135727
1000691,172,153.1511686,0.854719562,1.16E-05,0.001620546,0.000353786
1000692,280,260.715637,0.79311408,1.16E-05,0.002298798,0.000439323
1000701,438,49.45719976,0.777721922,1.16E-05,0.015463829,0.001117966
1000706,648,94.04267594,0.663456026,1.16E-05,0.041347761,0.002552265
1000728,284,57.33443412,0.776246129,1.16E-05,0.006893611,0.000592225
1000740,524,415.6248201,0.684712351,1.16E-05,0.010504555,0.000874145
1000743,0,0,0,2.18E-06,1.46E-07,0.000262743
1000748,930,566.5065473,0.504114843,1.16E-05,0.072889303,0.004189039
1000776,202,192.050617,0.872475248,1.16E-05,0.001668285,0.000369015
1000787,384,0,0.708224258,9.87E-06,0.138400641,0.008602978
1000799,142,78.5953516,0.879275654,1.16E-05,0.00159163,0.000364475
1000820,0,0,0,2.18E-06,1.46E-07,0.000262743
1000830,796,96.75284058,0.58687632,1.16E-05,0.086357601,0.005322756
1000835,516,384.4640895,0.707628269,1.16E-05,0.012921213,0.000905981
1000861,384,367.2523962,0.708224258,1.16E-05,0.00494288,0.000560609
1000866,820,290.9192434,0.565223644,1.16E-05,0.064102427,0.004107092
1000909,478,305.8143221,0.739850371,1.16E-05,0.009817612,0.00080028
1000962,320,246.0083824,0.790644654,1.16E-05,0.008148444,0.000604336
1000973,548,633.8928291,0.693831716,1.16E-05,0.010704913,0.000845095
1000977,86,94.21598305,0.949058693,1.16E-05,0.001194845,0.0003152
1000980,420,36.25161792,0.779357485,1.16E-05,0.013474834,0.001034506
1001002,824,526.9479946,0.554613969,1.16E-05,0.049415741,0.002825638
1001022,632,341.2023021,0.615209966,1.16E-05,0.08743446,0.005142723
1001038,634,338.5375352,0.662999641,1.16E-05,0.023406178,0.001546045
1001051,716,328.0213018,0.599785982,1.16E-05,0.023957899,0.001607977
1001064,446,278.3879299,0.725245425,1.16E-05,0.012155729,0.000837021
1001100,1026,119.0918753,0.448622493,1.15E-05,0.215615565,0.012270189
1001115,188,119.5825548,0.848776024,1.16E-05,0.00264011,0.000401471
1001118,862,142.8836842,0.547080826,1.16E-05,0.088677687,0.005366667
1001122,0,0,0,2.18E-06,1.46E-07,0.000262743
1001134,562,404.6639778,0.696134153,1.16E-05,0.015440214,0.001027265
1001144,354,253.036806,0.787814587,1.16E-05,0.00596011,0.000575559
1001146,306,236.2930915,0.805211558,1.16E-05,0.004333331,0.000477917
1001174,816,245.0329717,0.577310853,1.16E-05,0.070813278,0.004379411
1001184,362,141.4950849,0.744505832,1.16E-05,0.007141551,0.000642743
1001191,770,410.047626,0.589208007,1.16E-05,0.035276495,0.002192509
1001211,0,0,0,2.18E-06,1.46E-07,0.000262743
1001220,144,153.6506641,0.805164319,1.16E-05,0.001592325,0.000356691
1001240,528,77.11028624,0.695097361,1.16E-05,0.022456678,0.001382849
1001248,0,0,0,2.18E-06,1.46E-07,0.000262743
1001252,0,0,0,2.18E-06,1.46E-07,0.000262743
1001273,496,529.1446788,0.693581037,1.16E-05,0.009681743,0.000771965
1001286,432,252.0820785,0.756503015,1.16E-05,0.007605747,0.000802593
1001302,898,279.5021118,0.508648929,1.16E-05,0.102075883,0.005735109
1001332,118,107.8094072,0.870835769,1.16E-05,0.001492249,0.000353794
1001380,386,291.6514601,0.770239637,1.16E-05,0.005853353,0.000614323
1001394,468,489.1901239,0.728916768,1.16E-05,0.008168165,0.000693627
1001401,470,174.3257964,0.759701764,1.16E-05,0.012996497,0.00103118
1001414,1058,81.86454573,0.428224369,1.15E-05,0.417525657,0.023319591
1001420,428,381.0985317,0.710455882,1.16E-05,0.007257881,0.000636414
1001436,554,354.9436744,0.705671532,1.16E-05,0.010421222,0.000934858
1001446,700,299.0849104,0.619207588,1.16E-05,0.028833951,0.001749833
1001471,0,0,0,2.18E-06,1.46E-07,0.000262743
1001523,0,0,0,2.18E-06,1.46E-07,0.000262743
1001525,342,370.6022828,0.751565187,1.16E-05,0.005669807,0.000535316
1001534,820,250.0455389,0.584915384,1.16E-05,0.05585048,0.003378494
1001538,0,0,0,2.18E-06,1.46E-07,0.000262743
1001563,512,54.37329167,0.701286765,1.16E-05,0.017808447,0.001325576
1001583,376,142.3731032,0.780293549,1.16E-05,0.007215357,0.00065052
1001589,160,120.4186051,0.908544304,1.16E-05,0.001206311,0.000359783
1001595,300,317.9923972,0.805727069,1.16E-05,0.002564917,0.000524296
1001602,0,0,0,2.18E-06,1.46E-07,0.000262743
1001635,232,220.1748789,0.818590705,1.16E-05,0.002715907,0.000396982
1001654,358,303.2729848,0.809114305,1.16E-05,0.005256464,0.00053885
1001685,640,292.1342864,0.61447884,1.16E-05,0.024913571,0.001584631
1001692,592,426.0420291,0.698097544,1.16E-05,0.013801225,0.001011664
1001698,400,458.2923015,0.752562814,1.16E-05,0.005785442,0.000584158
1001700,0,0,0,2.18E-06,1.46E-07,0.000262743
1001703,606,402.0474067,0.681310515,1.16E-05,0.015792166,0.001262848
1001707,710,667.4468499,0.604855876,1.16E-05,0.017444367,0.001428773
1001726,432,146.431979,0.789448751,1.16E-05,0.013768727,0.00093738
1001728,324,205.5347901,0.794187562,1.16E-05,0.005551525,0.000551088
1001754,0,0,0,2.18E-06,1.46E-07,0.000262743
1001760,386,74.20518989,0.776608377,1.16E-05,0.010540341,0.000763521
1001762,0,0,0,2.18E-06,1.46E-07,0.000262743
1001777,516,421.1372075,0.669622659,1.16E-05,0.01111176,0.000854477
1001797,0,0,0,2.18E-06,1.46E-07,0.000262743
1001843,644,426.1186016,0.6480919,1.16E-05,0.019135416,0.001273625
1001861,752,386.0096633,0.616855615,1.16E-05,0.03301531,0.002153444
1001867,152,86.59467173,0.861403509,1.16E-05,0.002080645,0.000374094
1001872,988,187.7414578,0.467685813,1.16E-05,0.13581122,0.00767821
1001891,708,229.0701528,0.643300927,1.16E-05,0.054278061,0.003397284
1001893,534,154.0101922,0.685055335,1.16E-05,0.032974512,0.001901532
1001902,404,177.7454965,0.808039013,1.16E-05,0.006288107,0.000652795
1001906,444,239.3094281,0.794994089,1.16E-05,0.007133435,0.000764357
1001918,116,96.96512787,0.939503932,1.16E-05,0.001078104,0.000339315
1001923,616,613.6307874,0.660793604,1.16E-05,0.015180994,0.001107957
1001940,222,118.2054141,0.825389025,1.16E-05,0.002286673,0.000412612
1001942,42,4.532019804,0.857142857,1.15E-05,0.000405605,0.000290391
1001948,0,0,0,2.18E-06,1.46E-07,0.000262743
1001956,276,143.2072933,0.848407913,1.16E-05,0.003714846,0.000486771
1001964,134,118.4837687,0.935323383,1.16E-05,0.001215388,0.00032933
1001977,366,235.5513188,0.799135291,1.16E-05,0.005481654,0.000584034
1001983,250,171.7287204,0.824516129,1.16E-05,0.002829579,0.000417259
1002010,50,24.98923084,0.89,1.15E-05,0.000440855,0.000283185
1002017,936,552.2816046,0.499958644,1.16E-05,0.065933137,0.003718728
1002020,624,626.6285554,0.646468209,1.16E-05,0.01642041,0.001200422
1002032,614,460.4414335,0.662723669,1.16E-05,0.016722601,0.001277434
1002035,286,216.7370757,0.787648971,1.16E-05,0.003545403,0.000451303
1002058,182,126.3671158,0.911111111,1.16E-05,0.002068378,0.000371755
1002063,510,340.485176,0.737131388,1.16E-05,0.010084101,0.000839612
1002068,1002,85.21295109,0.463422846,1.15E-05,0.387578593,0.020761651
1002077,58,46.38185928,0.95320197,1.15E-05,0.00038808,0.000282953
1002093,608,262.2463093,0.682256384,1.16E-05,0.01903529,0.001324127
1002107,434,247.5971897,0.796468562,1.16E-05,0.007660805,0.00068552
