review.id,owner.id,cerated.on,number.of.patches,last.updated.on,project,branch,ubmit.type,status,elapsed.time,noof.approvals,net.approval.score,avg.approval.score ,noof.comments,timestamp.last.comment,timestamp.first.comment,comment.span,noof.reviews.owned.by.owner,noof.approvals.by.owner,noof.comments.by.owner.this.review,noof.comments.by.owner.all.reviews,noof.merged.reviews.of.owner,avg.approval.score.of.owner
789,1000495,10/22/2008 16:29,1,10/22/2008 19:46,platform/development,refs/heads/master,MERGE_ALWAYS,merged,3.2667,2,2,1,4,10/22/2008 19:46,10/22/2008 17:07,2.6333,7,4,0,4,5,0.6667
1205,1001144,10/22/2008 3:23,1,10/22/2008 19:50,platform/build,refs/heads/master,MERGE_ALWAYS,merged,16.45,2,4,2,3,10/22/2008 19:50,10/22/2008 3:30,16.3167,1,0,0,0,1,0
1233,1000330,10/23/2008 3:35,1,10/23/2008 23:13,platform/build,refs/heads/master,MERGE_ALWAYS,merged,19.6167,2,2,1,6,10/23/2008 23:13,10/23/2008 6:38,16.5667,2,2,1,3,2,1
1241,1000330,10/23/2008 17:26,1,12/3/2008 16:11,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,982.75,4,4,1.3333,5,12/3/2008 16:11,10/23/2008 17:44,982.45,2,2,0,3,2,1
1251,1000701,10/24/2008 2:52,1,7/13/2010 15:32,platform/build,refs/heads/master,MERGE_ALWAYS,merged,15060.65,1,2,2,6,7/13/2010 15:32,10/24/2008 2:53,15060.6333,63,254,0,289,63,0.9259
1275,1000660,10/24/2008 18:56,1,10/25/2008 17:21,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,22.4167,2,3,1.5,4,10/25/2008 17:21,10/24/2008 19:01,22.3333,701,4287,1,10892,605,0.5338
1276,1000234,10/24/2008 20:12,1,12/3/2008 16:11,platform/bionic,refs/heads/master,MERGE_ALWAYS,merged,955.9667,2,2,1,10,12/3/2008 16:11,10/24/2008 21:26,954.7333,61,369,2,375,55,1.57
1454,1000660,10/24/2008 18:56,1,10/25/2008 18:20,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,23.4,2,-1,-0.5,5,10/25/2008 18:20,10/24/2008 19:01,23.3167,701,4287,1,10892,605,0.5338
1456,1000234,10/24/2008 20:12,1,10/28/2008 23:24,platform/external/oprofile,refs/heads/master,MERGE_ALWAYS,merged,99.1833,2,0,0,4,10/28/2008 23:24,10/24/2008 21:29,97.9167,61,369,1,375,55,1.57
1527,1000728,10/26/2008 20:39,1,3/4/2009 21:45,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,3097.0833,2,-2,-1,5,3/4/2009 21:45,10/28/2008 8:23,3061.35,3,1,2,4,1,1
1535,1000495,10/27/2008 17:23,2,3/4/2009 20:07,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,3074.7333,3,2,0.6667,8,3/4/2009 20:07,10/28/2008 16:12,3051.9,7,4,0,4,5,0.6667
1552,1000728,10/28/2008 18:51,1,11/8/2009 21:31,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,9026.65,6,4,0.6667,8,11/8/2009 21:31,10/31/2008 17:37,8955.8833,3,1,1,4,1,1
1568,1000660,10/29/2008 17:17,1,11/4/2008 3:33,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,130.2667,2,-2,-1,5,11/4/2008 3:33,10/29/2008 21:32,126.0167,701,4287,2,10892,605,0.5338
1624,1000237,10/30/2008 15:42,1,12/3/2008 16:11,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,816.4833,3,-1,-0.3333,15,12/3/2008 16:11,10/30/2008 22:55,809.25,7,5,6,21,2,0.5
1626,1000237,10/30/2008 15:51,1,12/3/2008 16:11,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,816.3333,2,1,0.5,6,12/3/2008 16:11,10/30/2008 16:53,815.2833,7,5,2,21,2,0.5
1650,1000973,10/31/2008 9:24,1,10/31/2008 23:12,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,13.7833,2,3,1.5,3,10/31/2008 23:12,10/31/2008 10:26,12.75,4,1,0,3,4,0
1658,1000237,10/31/2008 22:35,1,12/3/2008 16:11,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,785.5833,2,-1,-0.5,6,12/3/2008 16:11,10/31/2008 22:42,785.4667,7,5,3,21,2,0.5
1661,1000237,10/31/2008 23:16,1,10/31/2008 23:33,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.2833,1,2,2,3,10/31/2008 23:33,10/31/2008 23:19,0.2167,7,5,1,21,2,0.5
1663,1000237,11/1/2008 1:07,1,4/6/2009 22:55,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,3765.7833,2,0,0,5,4/6/2009 22:55,11/1/2008 1:10,3765.7333,7,5,2,21,2,0.5
1673,1001191,11/2/2008 1:46,1,4/20/2009 18:11,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,4072.4,2,-1,-0.5,13,4/20/2009 18:11,11/3/2008 6:54,4043.2667,33,8,1,23,7,0.1667
1684,1001191,11/2/2008 1:47,1,12/3/2008 16:11,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,758.4,4,-3,-0.75,28,12/3/2008 16:11,11/2/2008 3:32,756.6333,33,8,0,23,7,0.1667
1692,1001302,11/2/2008 17:42,1,8/25/2009 15:22,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,7101.6667,3,0,0,18,8/25/2009 15:22,11/2/2008 17:51,7101.5,171,62,8,166,26,0
1704,1001302,11/3/2008 21:03,1,8/25/2009 14:22,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,7073.3167,1,0,0,9,8/25/2009 14:22,11/3/2008 21:09,7073.2,171,62,4,166,26,0
1723,1001332,11/4/2008 2:42,1,11/4/2008 20:46,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,18.05,3,4,1.3333,5,11/4/2008 20:46,11/4/2008 3:01,17.75,1,2,0,2,1,0
1742,1001302,11/4/2008 21:55,1,8/25/2009 15:23,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,7049.45,2,1,0.5,4,8/25/2009 15:23,11/12/2008 18:45,6860.6167,171,62,0,166,26,0
1744,1001302,11/4/2008 21:55,1,8/25/2009 14:58,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,7049.05,2,1,0.5,6,8/25/2009 14:58,11/5/2008 11:35,7035.3833,171,62,1,166,26,0
1746,1001302,11/4/2008 21:55,1,8/25/2009 21:04,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,7055.15,1,0,0,8,8/25/2009 21:04,11/5/2008 11:33,7041.5167,171,62,3,166,26,0
1748,1000866,11/4/2008 23:36,1,11/5/2008 23:58,kernel/msm,refs/heads/android-msm-htc-2.6.25,FAST_FORWARD_ONLY,Abandoned,24.35,2,-2,-1,4,11/5/2008 23:58,11/4/2008 23:38,24.3333,306,477,0,1198,233,1.1946
1786,1001240,11/6/2008 16:27,1,11/13/2008 5:47,platform/manifest,refs/heads/master,FAST_FORWARD_ONLY,merged,157.3167,1,2,2,4,11/13/2008 5:47,11/6/2008 16:41,157.0833,6,11,2,31,6,0.1111
1789,1001240,11/6/2008 16:36,1,11/14/2008 20:56,platform/manifest,refs/heads/cdma-import,FAST_FORWARD_ONLY,merged,196.3167,1,2,2,5,11/14/2008 20:56,11/6/2008 16:42,196.2333,6,11,2,31,6,0.1111
1840,1001191,11/2/2008 1:47,1,4/20/2009 18:13,platform/external/skia,refs/heads/master,MERGE_ALWAYS,Abandoned,4072.4333,2,0,0,3,4/20/2009 18:13,3/5/2009 13:31,1108.7,33,8,1,23,7,0.1667
1843,1001191,11/2/2008 1:47,1,12/3/2008 16:11,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,758.4,7,-5,-0.7143,37,12/3/2008 16:11,11/2/2008 3:45,756.4333,33,8,0,23,7,0.1667
1844,1001191,11/2/2008 1:47,1,3/14/2009 17:08,platform/hardware/libhardware,refs/heads/master,MERGE_ALWAYS,Abandoned,3183.3333,2,0,0,9,3/14/2009 17:08,11/2/2008 3:59,3181.1333,33,8,1,23,7,0.1667
1845,1000495,11/2/2008 1:51,1,11/3/2008 21:31,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,43.65,2,2,1,4,11/3/2008 21:31,11/2/2008 2:04,43.45,7,4,1,4,5,0.6667
1860,1001302,11/2/2008 17:42,1,8/25/2009 15:11,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,7101.4667,3,1,0.3333,8,8/25/2009 15:11,11/3/2008 13:45,7081.4333,171,62,2,166,26,0
1861,1001302,11/2/2008 17:42,1,11/4/2008 3:52,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,34.1667,2,3,1.5,3,11/4/2008 3:52,11/3/2008 13:42,14.1667,171,62,0,166,26,0
1889,1000866,11/4/2008 6:08,1,11/5/2008 22:30,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,40.3667,2,-1,-0.5,4,11/5/2008 22:30,11/4/2008 13:49,32.6833,306,477,0,1198,233,1.1946
1953,1001240,11/6/2008 16:27,1,11/13/2008 5:47,platform/manifest,refs/heads/master,FAST_FORWARD_ONLY,merged,157.3167,1,2,2,5,11/13/2008 5:47,11/6/2008 16:41,157.0833,6,11,2,31,6,0.1111
1955,1001240,11/6/2008 16:36,1,11/14/2008 20:56,platform/manifest,refs/heads/release-1.0,FAST_FORWARD_ONLY,merged,196.3167,1,2,2,5,11/14/2008 20:56,11/6/2008 16:42,196.2333,6,11,2,31,6,0.1111
1981,1001302,11/7/2008 2:15,2,3/5/2009 21:14,platform/external/elfutils,refs/heads/master,MERGE_ALWAYS,merged,2850.9667,3,2,0.6667,6,3/5/2009 21:14,3/5/2009 1:46,19.4667,171,62,0,166,26,0
1986,1001302,11/7/2008 15:25,1,8/25/2009 17:52,platform/external/qemu,refs/heads/master,MERGE_ALWAYS,Abandoned,6986.4333,3,2,0.6667,4,8/25/2009 17:52,3/5/2009 0:53,4168.9667,171,62,1,166,26,0
1991,1001302,11/9/2008 0:09,1,12/4/2008 1:01,platform/external/iptables,refs/heads/master,MERGE_ALWAYS,merged,600.85,2,3,1.5,4,12/4/2008 1:01,11/11/2008 10:17,542.7167,171,62,0,166,26,0
1992,1001302,11/9/2008 0:09,1,8/25/2009 16:55,platform/external/sqlite,refs/heads/master,MERGE_ALWAYS,Abandoned,6952.7667,2,3,1.5,5,8/25/2009 16:55,11/11/2008 10:14,6894.6667,171,62,0,166,26,0
1994,1001302,11/9/2008 0:09,1,8/25/2009 16:52,platform/external/yaffs2,refs/heads/master,MERGE_ALWAYS,Abandoned,6952.7167,3,2,0.6667,5,8/25/2009 16:52,11/11/2008 10:15,6894.6167,171,62,1,166,26,0
1995,1001302,11/9/2008 0:09,2,9/9/2009 2:01,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,7297.8667,3,1,0.3333,7,9/9/2009 2:01,11/11/2008 10:15,7239.75,171,62,2,166,26,0
1998,1001446,11/9/2008 18:10,1,11/18/2008 15:20,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,merged,213.1667,2,3,1.5,4,11/18/2008 15:20,11/9/2008 19:13,212.1167,28,49,0,109,19,0.3696
2417,1001302,11/7/2008 2:15,1,8/25/2009 17:05,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,6998.8167,2,-1,-0.5,7,8/25/2009 17:05,11/11/2008 10:23,6894.6833,171,62,2,166,26,0
2419,1001302,11/7/2008 2:15,1,8/25/2009 17:52,platform/external/qemu,refs/heads/master,MERGE_ALWAYS,Abandoned,6999.6167,1,0,0,7,8/25/2009 17:52,11/7/2008 15:44,6986.1333,171,62,4,166,26,0
2421,1001302,11/7/2008 2:15,1,8/25/2009 17:14,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,6998.9667,3,2,0.6667,18,8/25/2009 17:14,7/21/2009 4:31,852.7167,171,62,16,166,26,0
2422,1000973,11/7/2008 10:50,3,8/26/2009 17:14,platform/development,refs/heads/master,MERGE_ALWAYS,merged,7014.3833,4,2,0.6667,13,8/26/2009 17:14,11/7/2008 23:43,7001.5,4,1,1,3,4,0
2429,1001302,11/9/2008 0:09,2,9/4/2009 16:12,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,7192.05,4,0,0,8,9/4/2009 16:12,11/11/2008 10:16,7133.9167,171,62,2,166,26,0
2806,1000973,11/11/2008 5:35,1,11/11/2008 22:00,platform/development,refs/heads/master,MERGE_ALWAYS,merged,16.4,2,3,1.5,6,11/11/2008 22:00,11/11/2008 6:58,15.0333,4,1,0,3,4,0
2866,1001002,11/13/2008 7:23,1,11/18/2008 23:58,platform/system/bluetooth,refs/heads/master,MERGE_ALWAYS,merged,136.5833,1,2,2,8,11/18/2008 23:58,11/14/2008 23:22,96.6,71,193,2,341,62,1.2649
2869,1000973,11/13/2008 10:13,2,12/3/2008 16:11,platform/development,refs/heads/master,MERGE_ALWAYS,merged,485.9667,2,3,1.5,21,12/3/2008 16:11,11/13/2008 23:40,472.5,4,1,2,3,4,0
2890,1001302,11/15/2008 17:22,1,8/25/2009 19:22,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,6794,2,0,0,8,8/25/2009 19:22,12/21/2008 7:14,5940.1333,171,62,2,166,26,0
2897,1001184,11/16/2008 13:53,1,11/18/2008 18:50,platform/dalvik,refs/heads/master,MERGE_ALWAYS,merged,52.95,2,3,1.5,6,11/18/2008 18:50,11/18/2008 1:01,17.8167,12,8,0,23,9,0.3333
2898,1001302,11/16/2008 17:57,1,8/26/2009 11:17,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,6785.3167,3,1,0.3333,8,8/26/2009 11:17,11/17/2008 13:54,6765.3667,171,62,4,166,26,0
3078,1001184,11/16/2008 13:29,1,12/3/2008 16:11,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,410.6833,2,2,1,7,12/3/2008 16:11,11/20/2008 19:14,308.9333,12,8,2,23,9,0.3333
3081,1001302,11/16/2008 22:31,1,8/26/2009 14:45,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,6784.2333,3,2,0.6667,12,8/26/2009 14:45,12/3/2008 16:36,6382.1333,171,62,3,166,26,0
3092,1001220,11/28/2008 1:11,4,8/27/2009 21:26,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,6548.25,3,2,0.6667,6,8/27/2009 21:26,12/10/2008 0:44,6260.6833,1,6,2,8,1,0.3333
3602,1001184,11/17/2008 7:20,3,8/27/2009 14:47,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,6799.45,4,2,2,11,8/27/2009 14:47,11/19/2008 20:16,6738.5167,12,8,2,23,9,0.3333
3802,1001184,11/17/2008 7:18,3,7/12/2010 21:15,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,14461.95,6,-1,-0.3333,18,7/12/2010 21:15,11/17/2008 8:00,14461.25,12,8,4,23,9,0.3333
4009,1000232,11/18/2008 18:15,1,11/18/2008 21:37,platform/external/opencore,refs/heads/master,MERGE_ALWAYS,merged,3.35,2,3,1.5,3,11/18/2008 21:37,11/18/2008 19:31,2.1,5,3,0,2,5,0
4065,1000660,11/21/2008 22:22,1,11/22/2008 20:28,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,22.1,1,2,2,3,11/22/2008 20:28,11/21/2008 22:25,22.05,701,4287,1,10892,605,0.5338
4171,1000660,11/24/2008 18:40,1,12/5/2008 22:27,platform/build,refs/heads/release-1.0,MERGE_ALWAYS,merged,267.7667,1,2,2,3,12/5/2008 22:27,11/24/2008 18:43,267.7167,701,4287,1,10892,605,0.5338
4172,1000660,11/24/2008 18:40,1,12/5/2008 22:27,platform/frameworks/base,refs/heads/release-1.0,MERGE_ALWAYS,merged,267.7667,1,2,2,4,12/5/2008 22:27,11/24/2008 18:42,267.7333,701,4287,2,10892,605,0.5338
4267,1000660,11/21/2008 22:22,1,11/23/2008 9:19,platform/build,refs/heads/master,MERGE_ALWAYS,merged,34.9333,1,2,2,3,11/23/2008 9:19,11/21/2008 22:24,34.9,701,4287,1,10892,605,0.5338
4391,1000835,11/25/2008 2:01,1,8/25/2009 19:45,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,6569.7167,4,1,0.25,3,8/25/2009 19:45,11/25/2008 12:54,6558.85,8,22,0,282,3,0.4
4410,1001022,11/25/2008 13:42,1,1/23/2009 15:54,platform/frameworks/policies/base,refs/heads/cdma-import,MERGE_ALWAYS,merged,1418.1833,3,3,1,5,1/23/2009 15:54,12/5/2008 1:05,1190.8,18,9,0,13,17,0.8889
4412,1001022,11/25/2008 13:50,6,1/23/2009 15:55,platform/packages/apps/Phone,refs/heads/cdma-import,MERGE_ALWAYS,merged,1418.0667,6,3,0.5,61,1/23/2009 15:55,12/5/2008 2:42,1189.2,18,9,0,13,17,0.8889
4418,1001022,11/25/2008 13:57,3,1/23/2009 15:52,platform/build,refs/heads/cdma-import,MERGE_ALWAYS,merged,1417.9,2,3,1.5,5,1/23/2009 15:52,1/19/2009 0:31,111.35,18,9,0,13,17,0.8889
4601,1001022,11/25/2008 13:51,3,1/23/2009 15:53,platform/packages/apps/Settings,refs/heads/cdma-import,MERGE_ALWAYS,merged,1418.0167,3,3,1,14,1/23/2009 15:53,12/5/2008 0:56,1190.9333,18,9,0,13,17,0.8889
4603,1001022,11/25/2008 13:52,4,1/23/2009 15:55,platform/hardware/ril,refs/heads/cdma-import,MERGE_ALWAYS,merged,1418.05,7,3,0.4286,145,1/23/2009 15:55,12/4/2008 21:59,1193.9333,18,9,0,13,17,0.8889
4604,1001022,11/25/2008 13:53,5,1/23/2009 15:52,platform/frameworks/base,refs/heads/cdma-import,MERGE_ALWAYS,merged,1417.9833,7,2,0.2857,233,1/23/2009 15:52,11/29/2008 9:06,1326.7667,18,9,0,13,17,0.8889
4619,1001420,11/26/2008 8:11,1,3/26/2010 18:19,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,11650.1333,3,0,0,5,3/26/2010 18:19,8/25/2009 21:11,5109.1333,3,0,0,1,1,0
5001,1001184,12/1/2008 7:34,3,8/27/2009 14:42,platform/system/core,refs/heads/master,MERGE_ALWAYS,merged,6463.1333,3,2,2,7,8/27/2009 14:42,8/25/2009 20:02,42.65,12,8,0,23,9,0.3333
5064,1001420,12/3/2008 4:07,1,8/27/2009 1:13,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,6405.0833,3,-2,-0.6667,3,8/27/2009 1:13,8/25/2009 20:05,29.1333,3,0,1,1,1,0
5093,1001302,12/3/2008 19:45,1,8/26/2009 14:46,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,6379,3,2,0.6667,6,8/26/2009 14:46,12/3/2008 22:11,6376.5667,171,62,1,166,26,0
5124,1000692,12/7/2008 23:50,1,12/9/2008 4:20,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,28.5,3,2,0.6667,11,12/9/2008 4:20,12/8/2008 20:04,8.2667,4,0,4,7,4,0
5154,1000692,12/9/2008 13:59,2,12/10/2008 0:39,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,10.65,4,2,0.5,10,12/10/2008 0:39,12/9/2008 17:01,7.6333,4,0,3,7,4,0
5158,1000512,12/10/2008 3:01,1,3/21/2009 0:37,platform/bionic,refs/heads/master,MERGE_ALWAYS,Abandoned,2421.5833,3,1,0.3333,3,3/21/2009 0:37,12/11/2008 15:19,2385.2833,8,4,1,19,3,0.25
5269,1000660,12/4/2008 20:12,1,12/9/2008 1:05,platform/bionic,refs/heads/master,MERGE_ALWAYS,merged,100.8833,2,3,1.5,3,12/9/2008 1:05,12/9/2008 0:30,0.5833,701,4287,0,10892,605,0.5338
