review.id,owner.id,created.on,noof.patches,last.updated.on,project,branch,submit.type,status,elapsed.time,noof.approvals,Sum of Approval.ReviewedStatus field,average.approval.score,noof.comments.on.this.review,comment.time.1,comment.time.2,comment.span.on.this.review,reviews.owned.by.owner,approvals.by.owner,noof.comments.by.owner,total.comments.owner,noof.reviews.merged.owner,avg.aprpoval.score.owner,reviews.owned.by.owner.merged,median.approval.score,noof.comments.by.nonowners,median.approval.score.owner,rsn.degree,rsn.betweenness,rsn.clustcoeff,rsn.closenesscentrality,rsn.eigencentrality,rsn.pagerank
1275,1000660,10/24/2008 18:56,1,10/25/2008 17:21,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,22.4167,2,3,1.5,4,10/25/2008 17:21,10/24/2008 19:01,22.3333,52,1200,1,3410,44,0.353,44,1.5,3,0,312,627.75,0.061952026,8.34E-05,0.22341534,0.00030512
1276,1000234,10/24/2008 20:12,1,12/3/2008 16:11,platform/bionic,refs/heads/master,MERGE_ALWAYS,merged,955.9667,2,2,1,10,12/3/2008 16:11,10/24/2008 21:26,954.7333,12,141,2,165,11,1.6105,11,1,8,1,258,168.9095238,0.057170543,8.22E-05,0.210322903,0.000253396
1454,1000660,10/24/2008 18:56,1,10/25/2008 18:20,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,23.4,2,-1,-0.5,5,10/25/2008 18:20,10/24/2008 19:01,23.3167,52,1200,1,3410,44,0.353,44,-0.5,4,0,510,2220.973846,0.062374556,8.39E-05,0.385352597,0.000509664
1456,1000234,10/24/2008 20:12,1,10/28/2008 23:24,platform/external/oprofile,refs/heads/master,MERGE_ALWAYS,merged,99.1833,2,0,0,4,10/28/2008 23:24,10/24/2008 21:29,97.9167,12,141,1,165,11,1.6105,11,0,3,1,186,522.1666667,0.077372604,8.36E-05,0.145682756,0.000184212
1552,1000728,10/28/2008 18:51,1,11/8/2009 21:31,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,9026.65,6,4,0.6667,8,11/8/2009 21:31,10/31/2008 17:37,8955.8833,1,0,1,1,0,0,0,1,7,0,60,116.2142857,0.131034483,7.22E-05,0.051518825,9.54E-05
1568,1000660,10/29/2008 17:17,1,11/4/2008 3:33,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,130.2667,2,-2,-1,5,11/4/2008 3:33,10/29/2008 21:32,126.0167,52,1200,2,3410,44,0.353,44,-1,3,0,234,1123.5,0.05319776,7.86E-05,0.198536743,0.000242539
1624,1000237,10/30/2008 15:42,1,12/3/2008 16:11,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,816.4833,3,-1,-0.3333,15,12/3/2008 16:11,10/30/2008 22:55,809.25,2,4,6,14,0,0.3333,0,0,9,0,620,2565.75,0.05000522,8.30E-05,0.46178258,0.00070548
1658,1000237,10/31/2008 22:35,1,12/3/2008 16:11,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,785.5833,2,-1,-0.5,6,12/3/2008 16:11,10/31/2008 22:42,785.4667,2,4,3,14,0,0.3333,0,-0.5,3,0,740,6353.5,0.065333626,8.58E-05,0.612902104,0.00077421
1692,1001302,11/2/2008 17:42,1,8/25/2009 15:22,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,7101.6667,3,0,0,18,8/25/2009 15:22,11/2/2008 17:51,7101.5,26,22,8,85,2,0,2,0,10,0,512,5116.833333,0.08158701,8.60E-05,0.44752297,0.00047357
1704,1001302,11/3/2008 21:03,1,8/25/2009 14:22,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,7073.3167,1,0,0,9,8/25/2009 14:22,11/3/2008 21:09,7073.2,26,22,4,85,2,0,2,0,5,0,140,370.9333333,0.054658385,7.52E-05,0.125947477,0.000159347
1744,1001302,11/4/2008 21:55,1,8/25/2009 14:58,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,7049.05,2,1,0.5,6,8/25/2009 14:58,11/5/2008 11:35,7035.3833,26,22,1,85,2,0,2,0.5,5,0,110,390.2266234,0.037710438,7.51E-05,0.080395887,0.000128813
1746,1001302,11/4/2008 21:55,1,8/25/2009 21:04,platform/system/core,refs/heads/master,MERGE_ALWAYS,Abandoned,7055.15,1,0,0,8,8/25/2009 21:04,11/5/2008 11:33,7041.5167,26,22,3,85,2,0,2,0,5,0,58,121.1555556,0.177339901,7.61E-05,0.051717412,9.09E-05
1840,1001191,11/2/2008 1:47,1,4/20/2009 18:13,platform/external/skia,refs/heads/master,MERGE_ALWAYS,Abandoned,4072.4333,2,0,0,3,4/20/2009 18:13,3/5/2009 13:31,1108.7,4,2,1,10,1,1,1,0,2,0.5,574,162.1,0.041860578,8.02E-05,0.507330323,0.000734223
1844,1001191,11/2/2008 1:47,1,3/14/2009 17:08,platform/hardware/libhardware,refs/heads/master,MERGE_ALWAYS,Abandoned,3183.3333,2,0,0,9,3/14/2009 17:08,11/2/2008 3:59,3181.1333,4,2,1,10,1,1,1,0,8,0.5,620,71.22727273,0.047103038,8.01E-05,0.686092457,0.000756711
1860,1001302,11/2/2008 17:42,1,8/25/2009 15:11,platform/dalvik,refs/heads/master,MERGE_ALWAYS,Abandoned,7101.4667,3,1,0.3333,8,8/25/2009 15:11,11/3/2008 13:45,7081.4333,26,22,2,85,2,0,2,0,6,0,544,1680.333333,0.050629477,8.36E-05,0.403035318,0.000587783
1986,1001302,11/7/2008 15:25,1,8/25/2009 17:52,platform/external/qemu,refs/heads/master,MERGE_ALWAYS,Abandoned,6986.4333,3,2,0.6667,4,8/25/2009 17:52,3/5/2009 0:53,4168.9667,26,22,1,85,2,0,2,0,3,0,534,1766,0.053082144,8.35E-05,0.53022506,0.000560975
1994,1001302,11/9/2008 0:09,1,8/25/2009 16:52,platform/external/yaffs2,refs/heads/master,MERGE_ALWAYS,Abandoned,6952.7167,3,2,0.6667,5,8/25/2009 16:52,11/11/2008 10:15,6894.6167,26,22,1,85,2,0,2,1,4,0,68,187.75,0.128342246,7.79E-05,0.068541864,9.60E-05
1995,1001302,11/9/2008 0:09,2,9/9/2009 2:01,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,Abandoned,7297.8667,3,1,0.3333,7,9/9/2009 2:01,11/11/2008 10:15,7239.75,26,22,2,85,2,0,2,0,5,0,94,546.6666667,0.145235893,8.09E-05,0.083412721,0.000114066
