ReviewId,OwnerId,CreatedOn,NumberOfPatches,LastUpdatedOn,Project,Branch,SubmitType,Status,Elasped time in hours,Number of approvals,Net approval score,Average approval score ,Number of comments,Date of last comment,Date of first comment,Comment Span in Hours,Number of total reviews owned by owner,Number of total approvals given by owner,Number of comments by owner on this review,Number of total comments by owner across all reviews,"Number of reviews of owner which have a status = ""merged""",What is the average approval score of the owner
577,1000392,10/21/2008 15:27,1,10/21/2008 15:30,platform/manifest,refs/heads/master,FAST_FORWARD_ONLY,merged,0.05,1,1,1,1,10/21/2008 15:29,10/21/2008 15:29,0,4,42,NULL,94,4,0.7619
579,1000162,10/21/2008 19:57,1,10/21/2008 20:23,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,0.4167,2,3,1.5,2,10/21/2008 20:22,10/21/2008 20:20,0,5,NULL,NULL,NULL,5,NULL
593,1000162,10/21/2008 22:02,1,10/21/2008 22:57,platform/development,refs/heads/master,MERGE_ALWAYS,merged,0.9167,2,3,1.5,4,10/21/2008 22:57,10/21/2008 22:10,0,5,NULL,NULL,NULL,5,NULL
594,1000162,10/21/2008 22:02,1,10/21/2008 23:35,platform/external/srec,refs/heads/master,MERGE_ALWAYS,merged,1.55,2,4,2,3,10/21/2008 23:35,10/21/2008 23:16,0,5,NULL,NULL,NULL,5,NULL
595,1000162,10/21/2008 22:02,1,10/21/2008 22:55,platform/frameworks/base,refs/heads/master,MERGE_ALWAYS,merged,0.8667,2,3,1.5,4,10/21/2008 22:51,10/21/2008 22:12,0,5,NULL,NULL,NULL,5,NULL
776,1000162,10/21/2008 22:02,1,10/21/2008 22:57,platform/build,refs/heads/master,MERGE_ALWAYS,merged,0.9,2,3,1.5,5,10/21/2008 22:57,10/21/2008 22:13,0,5,NULL,NULL,NULL,5,NULL
789,1000495,10/22/2008 16:29,1,10/22/2008 19:46,platform/development,refs/heads/master,MERGE_ALWAYS,merged,3.2667,2,2,1,4,10/22/2008 19:46,10/22/2008 17:07,2.0333,7,4,NULL,4,5,0.5
793,1000911,10/22/2008 17:55,1,10/25/2008 17:24,platform/build,refs/heads/master,MERGE_ALWAYS,Abandoned,71.4667,2,-2,-1,3,10/25/2008 17:24,10/22/2008 18:27,71.1667,1,NULL,NULL,NULL,NULL,NULL
1202,1000392,10/22/2008 0:38,1,10/22/2008 0:39,platform/prebuilt,refs/heads/master,MERGE_ALWAYS,merged,0.0167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,42,NULL,94,4,0.7619
1205,1001144,10/22/2008 3:23,1,10/22/2008 19:50,platform/build,refs/heads/master,MERGE_ALWAYS,merged,16.45,2,4,2,3,10/22/2008 19:50,10/22/2008 3:30,16.2667,1,NULL,NULL,NULL,1,NULL
